id,dominio,titulo,invariante,severidad,severidad_original,probabilidad,impacto,evidencia,remediacion,esfuerzo,confianza,revision_adversarial
A-01,A-webhook-leads,El lead nuevo no se vuelve visible en ninguna parte: no existe endpoint ni pantalla de lectura de la mesa de entrada,INV-7,CRITICO,,ALTA,"La cadena webhook -> lead -> agenda se corta en el primer eslabon, y no por falta de dato sino por falta de puerta. Cada lead pagado de Meta se cobra, se guarda y se pierde: nadie lo ve, nadie lo llama, nadie puede convertirlo. `POST /admin/leads/:id/convertir` esta escrito, probado (`conversion.spec.ts`) y es codigo muerto, porque no hay forma de conseguir el `:id`. Fase 0 lo anoto como «no hay pantalla»; lo que confirmo es peor: tampoco hay endpoint, asi que no es trabajo de frontend pendiente sino un agujero de backend.","backend/src/leads/conversion.controller.ts:22 y :30-31 (unico controlador admin/leads, solo POST convertir); backend/src/leads/meta-pruebas.controller.ts:355 (unico findMany, en el banco de pruebas); backend/src/crm/crm.controller.ts:649-651 (unica aparicion real, via propuesta)","Anadir `GET /admin/leads` con `AdminGuard`, `@Requiere('inscripciones')` y filtro obligatorio por `ambito.convenios` (el mismo patron de `conversion.service.ts:68-69`), paginado y ordenado por `recibidoEn desc`, con filtro por `estado`. Devolver el documento tapado con `taparDocumento()`, no en claro. Sin esto, nada mas de este dominio importa: el resto de arreglos serian sobre datos que nadie mira.",M,CONFIRMADO EN CODIGO,"El `:id` SI se entrega, solo que a quien no toca. `entra()` devuelve `this.vista(lead)`, y `vista()` incluye `id` (`leads.service.ts:453-458`, invocado en :123, :162 y :174): el orquestador recibe el identificador del lead en el 200 de cada webhook. Nadie del panel lo puede obtener —eso es cierto y "
A-03,A-webhook-leads,"`participanteId @unique` revienta con 500 el segundo lead que cruce con la misma ficha, y lo deja PENDIENTE para siempre",INV-5,CRITICO,,ALTA,"Que la misma persona llene el formulario dos veces es lo normal, no el caso raro. A partir del segundo lead: 500 al emisor, lead atrapado en PENDIENTE, sin toque de origen, sin propuesta y —por A-01— invisible. El fallo se autooculta: el reintento contesta 200. Nadie se entera nunca, y la metrica de pauta pierde todos los reimpactos, que son justo lo que se queria medir. Ningun spec cubre esto: `cruzar-con-el-crm.spec.ts` solo prueba la funcion buscadora con prisma doblado y `avisarQueYaEstaba` no se ejercita en ningun `it`.",backend/prisma/schema.prisma:783 (`participanteId String? @unique`) contra backend/src/leads/leads.service.ts:339-346 (update sin captura de P2002),"Quitar `@unique` de `participanteId` (una ficha puede tener varios leads de origen: es la verdad del negocio) y dejar el indice simple. Migracion expand->contract: crear el indice no unico, borrar el unico. Mientras tanto, envolver la transaccion de `avisarQueYaEstaba` en captura de P2002 para que nunca tumbe la peticion. Y el `ExceptionFilter` global que Fase 0 ya pide.",M,CONFIRMADO EN CODIGO,"No hay prisma doblado ni una sola prueba de la funcion buscadora. `cruzar-con-el-crm.spec.ts:1` importa exactamente `{ partirNombreCompleto, porDondeSeEncontro }`: los 10 bloques `it` son 7 de partir el nombre (:7,16,25,34,43,49,53) y 3 de redactar el mensaje (:61,71,84), ambas funciones puras. `cru"
C-01,C-historial,"La bitácora solo ve la UI: workers, webhook y SQL manual escriben sin dejar rastro",INV-3,CRITICO,,ALTA,"La pregunta «¿quién cambió esto?» no tiene respuesta para la mayoría de los cambios. Un lead que entra por el webhook de Meta, se convierte y se matricula solo recorre toda la cadena sin una sola fila de auditoría. Delante del SENA, la trazabilidad de una ficha depende de por qué puerta se tocó, no de que se tocó.","backend/src/crm/matricula.ts:89 (participante.update sin auditoría; `grep -c auditoria backend/src/crm/matricula.ts` = 0) · backend/src/leads/leads.service.ts:126,243,339,364 (grep auditoria = 0) · backend/src/reservas/reservas.service.ts:369 ($executeRaw; grep auditoria = 0) · backend/prisma/aplicar-migracion.mjs:43 · backend/src/comun/auditoria.service.ts:116","La bitácora no puede seguir dependiendo de que el programador se acuerde de llamarla. Mover la captura a la BASE DE DATOS con triggers AFTER INSERT/UPDATE/DELETE sobre las tablas de negocio (ver C-16). Mientras tanto, y como medida puente: inyectar `AuditoriaService` en leads, reservas, admin, cronograma, politicas y matricula, y auditar sus escrituras. El puente NO cierra el agujero del SQL manual — solo el trigger lo cierra.",L,CONFIRMADO EN CODIGO,"La generalización se cae con el propio C-15 del mismo informe. Fuera de esos 13 puntos hay cuatro registros más que sí capturan escrituras: MovimientoParticipante en 10 sitios (7 de ellos con adminId), MovimientoReserva en 5 (con ip y userAgent), ValorAnterior en 2, CargaDeParticipantes con adminId,"
C-14,C-historial,El recuento: 14 de 71 escrituras de negocio dejan huella en la bitácora,INV-3,CRITICO,,ALTA,"Cuatro de cada cinco cambios de negocio no se pueden atribuir a nadie. Los que faltan no son los menores: quién cambió los permisos de un administrador, quién despublicó una política de datos, quién movió los cupos del cronograma y qué entró por el webhook son exactamente las preguntas que se hacen cuando algo sale mal.","Denominador: `grep -rnE ""(prisma|tx)\.(participante|persona|reserva|oferta|empresa|institucion|leadEntrante|accionFormacion|grupoCobertura|autorizacionDatos|politicaDatos|admin|adminConvenio)\.(create|createMany|update|updateMany|upsert|delete|deleteMany)"" backend/src --include=*.ts -o | grep -v .spec.ts | grep -v src/crm/rui/ | wc -l` → 71 · Numerador: los 13 `auditoria.registrar(` de backend/src (crm.service.ts:1310,1515,1775,2044,2324,2385,2534; instituciones.service.ts:277; plantillas.service.ts:316,407; preinscripcion.service.ts:1015,1138; rui.service.ts:197) · Lecturas: auditoria.service.ts:139, crm.service.ts:392, preinscripcion.service.ts:999","No cerrar la brecha llamada a llamada —57 puntos de llamada nueva es un trabajo que se degrada solo, porque el punto 58 no lo obliga nadie. Es el argumento para C-16: un trigger por tabla cubre las 71 escrituras y las futuras, incluidas las que no pasan por Prisma. Priorizar en el primer lote las tablas de la cadena de INV-7 más `administradores` y `politicas_datos`.",L,CONFIRMADO EN CODIGO,"Hay 3 lecturas y 2 funcionan. El groupBy de crm.service.ts:392-401 filtra por entidad Y por acción con la grafía correcta (ENTIDADES.PARTICIPANTE), y su resultado llega a DOS pantallas: la columna «Cambios» del listado y el dato «Cambios realizados» del cajón de lead. La lectura de preinscripcion.se || Esas dos escrituras NUNCA se auditan. Viven en la rama `if (suya)` (:1172), que es mutuamente excluyente con el bloque auditado `if (seCambia && laDeAhora)` (:1137): aQueOrganizacionSeAta devuelve `atar: null` exactamente cuando `cambia === true`, así que quien cambia de organización cae en la rama  || El denominador 71 y el numerador 14 se reproducen exactamente con el grep citado — eso está bien. Lo que no vale es el salto de «sin fila en la bitácora» a «no se puede atribuir a nadie». De las 57, al menos 5 escrituras del CRM van acompañadas de un MovimientoParticipante con adminId e ip en la mis"
D-02,D-papelera,Lo archivado seguiria viajando al SENA: no hay embudo unico de consultas,INV-2,CRITICO,,ALTA,"Una ficha archivada -- un duplicado, un dato falso, alguien que pidio salir -- sigue contando en el embudo, en el panel de cupos, en la lista de una campana de correo y, lo peor, en el .xlsx que se le entrega al SENA. Se reporta al Estado a alguien que se archivo precisamente para no reportarlo.","backend/src/crm/crm.service.ts:3645 (private donde), usado solo en :331, :491, :506, :2900 · backend/src/crm/sep/sep.service.ts:188, :376, :434 (consultan participante directo con etapa: { in: ETAPAS_DEL_REPORTE }) · 72 sitios contados con: grep -rn ""prisma\.participante\.\|tx\.participante\."" backend/src --include=*.ts | grep -v spec | wc -l","Copiar el patron de etapas.ts: un solo modulo backend/src/comun/vivos.ts que exporte VIVO = { archivadoEn: null } y ARCHIVADO = { archivadoEn: { not: null } } como fragmentos Prisma.ParticipanteWhereInput, con la cabecera explicando por que existe. Y luego, que es lo que de verdad cierra el agujero: NO confiar en que 72 sitios lo recuerden. Dos capas mas: (1) Extension de Prisma Client ($extends sobre query.participante.$allOperations) que inyecte archivadoEn: null por defecto en findMany/findFirst/count/groupBy/aggregate y exija un incluirArchivados explicito para verlos. Es una sola pieza y cubre los 72 sitios el dia que se escribe el 73. (2) Un lint de repo que falle si aparece prisma.participante. sin pasar por el helper. Alternativa evaluada y descartada: vistas de Postgres participantes_vivos -- Prisma no las mapea a los tipos generados y obligaria a SQL crudo justo donde hoy no lo hay. Alternativa evaluada y descartada: RLS con SET app.ver_archivados -- el backend usa una sola conexion y un solo rol, no hay sesion de base por usuario.",L,CONFIRMADO EN CODIGO,"El conteo mide solo lo que su propio grep ve, y la remediacion cubre exactamente ese subconjunto. Faltan dos familias enteras de caminos de lectura: (1) 28 consultas en SQL CRUDO contra `""participantes""`, en cuatro ficheros que NO aparecen en la lista de 14 — control.ts, planeacion-de-pauta.ts, tabl || Solo dos de las tres son consultas directas a `participante`. La tercera es una PROYECCION/filtro anidado dentro de una consulta a otro modelo: `autorizacionDatos.findMany({ where: { ..., persona: { participaciones: { some: { convenioId, etapa } } } } })`. Confundir el filtro anidado con una consult"
E-01,E-calendario,"Nada de lo que escribe el cronograma queda registrado, y con el catálogo actual no puede quedar",INV-3,CRITICO,,ALTA,"Mover la fecha de arranque de un grupo cambia el «va al día» de toda una cohorte, mueve el reporte al SENA y dispara la matriculación automática. Cambiar los cupos de una cobertura mueve el techo de la oferta entera. Ninguna de las dos cosas deja huella: cuando una fecha no cuadre con el SENA no hay forma de saber quién la movió ni qué decía antes. El propio comentario de `matricula.ts:48-51` dice que esa es justo la pregunta que se hace cuando una fecha no cuadra.",backend/src/cronograma/cronograma.service.ts:160-168 y :244-262; backend/src/comun/auditoria.service.ts:57-63 y :10-40; backend/prisma/schema.prisma:1888,"Añadir GRUPO y COBERTURA a `ENTIDADES`, y las acciones CRONOGRAMA_FECHAS_CAMBIADAS y COBERTURA_CUPOS_CAMBIADOS a `ACCIONES`. Registrar en `actualizarGrupo` y `actualizarCupos` con antes/después por campo, dentro de la misma transacción que ya existe en `actualizarCupos`. Como INV-3 pide cubrir también el SQL directo, la solución que aguanta es un trigger de auditoría sobre `grupos` y `grupos_cobertura`, y ahí conviene el ADR de «auditoría por trigger» que la ficha ya lista como pendiente.",M,CONFIRMADO EN CODIGO,"Es una lectura al revés del comentario. `auditoria.service.ts:7-9` dice explícitamente por qué el catálogo vive en código y no en un enum de Postgres: «añadir una acción no debería costar una migración, y el conjunto cambia más que el esquema». El «una grafía nueva no compila» (:56) protege contra E"
F-01,F-reservas,No existe hold con TTL: una reserva confirmada retiene el cupo para siempre,INV-4,CRITICO,,ALTA,"Cada POST publico sin sesion se lleva N cupos de forma permanente. Solo hay tres formas de devolverlos, y las tres exigen accion humana: que la propia empresa vuelva a /consulta con su NIT y cancele (reservas.service.ts:224), que un gestor cancele desde el panel (tableros.service.ts:1117) o que un operador corra pnpm db:borrar-reservas <nit> --si (backend/package.json:38). Ninguna es automatica. Una oferta se seca con reservas fantasma y las empresas que si iban a ir quedan en LISTA_ESPERA detras de ellas sin que nadie las avise (ver F-05). El throttle de 10/min por IP (reservas.controller.ts:28) no lo frena: son 10 reservas por minuto por IP, indefinidamente, contra una ruta sin guard. Y como no se puede cerrar la oferta, el unico freno de emergencia es ocultar la AccionFormacion entera con visible (admin.service.ts:806), que tumba tambien las ofertas sanas de esa accion.","backend/prisma/schema.prisma:257-261 (enum sin EXPIRADA) · backend/prisma/schema.prisma:263-308 (Reserva sin columna de vencimiento) · backend/src/reservas/reservas.service.ts:100 (el cupo se ocupa en el POST) · NO ENCONTRADO: grep -rniE ""expira|caduc|vence|ttl|hold|SOLICITADA|EXPIRADA"" backend/src backend/prisma/schema.prisma no devuelve ni una coincidencia referida a Reserva · NO ENCONTRADO: escritura de Oferta.abierta, grep -rn ""abierta"" backend/src --include=*.ts devuelve solo lecturas","Anadir a Reserva una columna retieneHasta DateTime? y un estado SOLICITADA en el enum, con expand->migrate->contract (INV-8): primero la columna anulable, luego el backfill poniendo retieneHasta = null en todo lo existente, luego el valor nuevo del enum, y solo despues la logica. Escribir un unico job -no un setInterval mas, que ya hay dos sin candado segun 00-mapa-actual.md:98-104- que en una transaccion por oferta tome la fila FOR UPDATE, pase a EXPIRADA lo vencido, devuelva el contador con moverContador y llame a promoverListaDeEspera. La confirmacion debe ser un acto explicito de la empresa (clic en el correo, ver F-05), no el POST. Requiere ADR: cuanto dura el hold y quien lo confirma es decision de negocio.",L,CONFIRMADO EN CODIGO,"SE CONTRADICE CONSIGO MISMO, Y ADEMAS EL FRENO NO FRENA. El propio parrafo de impacto acaba de listar tres formas de devolver cupos, entre ellas «que un gestor cancele desde el panel (tableros.service.ts:1117)»; tres lineas despues dice que el unico freno es ocultar la accion. Y ocultar la AccionFor"
G-03,G-cupos,`asignar()` mueve gente entre ofertas y coberturas sin candado y sin mirar el cupo del grupo,INV-4,CRITICO,,ALTA,"Sobrecupo de aula por la puerta que mas se usa a diario. Y como el conteo es en vivo, el sobrecupo no descuadra ningun contador: simplemente hay mas gente que sillas, y se descubre el primer dia de clase. Ademas `sobrecupoMotivo` (:3468-3474) convierte el tope en negociable a nivel de oferta pero NO a nivel de grupo, que es donde esta el aula fisica.","backend/src/crm/crm.service.ts:3459-3465 (conteo fuera de tx), :3467-3475 (el `if`), :3479-3484 (la cobertura no se mide), :3532 ($transaction de array); backend/src/crm/crm.controller.ts:452-462","Convertir el `$transaction([array])` de :3532 en transaccion interactiva; dentro, tomar el mismo candado que ya usa `cambiarEtapa` (`SELECT id FROM ofertas WHERE id = ... FOR UPDATE`, crm.service.ts:2254) sobre la oferta DESTINO, recontar ahi dentro contra `oferta.cuposMaximos` Y contra `cobertura.cuposMaximos`, y solo entonces escribir. Cuando exista el contador materializado de G-05, sustituir el reconteo por el UPDATE condicional con `rowCount = 1`. Y pasarle `conveniosQueMuevenInscrito(ambito.roles)` desde el controlador, igual que a `cambiarEtapa`.",M,CONFIRMADO EN CODIGO,"(a) Son SEIS, no cuatro: faltan `crm/rui/rui.service.ts:322` e `instituciones/web/web.service.ts:157`, ambos `FOR UPDATE SKIP LOCKED` para tomar trabajo de cola. No cambia la conclusion (ninguno bloquea una oferta), pero el censo esta mal y el ADR de orden de candados que el propio hallazgo propone "
C-06,C-historial,La bitácora no es inalterable: la aplicación es dueña de la tabla y puede borrarla entera,INV-3,CRITICO,,MEDIA,"Una bitácora que el propio sistema auditado puede reescribir no prueba nada. Si alguien discute un dato reportado al SENA, la defensa «así lo dice el registro» se cae en cuanto se pregunte quién puede editar el registro. Y una migración desatendida ya demostró que puede modificarla en masa sin que nadie apruebe nada.","`grep -rniE ""revoke|grant |row level security|rls"" backend/prisma/migrations/` → 0 · `grep -rniE ""create (or replace )?(trigger|function)|create rule"" backend/prisma/migrations/` → 0 · backend/.env.example:9,17 (POSTGRES_USER=reservasae, mismo rol en DATABASE_URL) · docker-compose.yml:29-33 · backend/prisma/migrations/20260828120000_una_sola_grafia_de_entidad/migration.sql:19-32","Separar roles en la base: un rol `app` con INSERT y SELECT sobre las tablas de bitácora y sin UPDATE/DELETE/TRUNCATE (`REVOKE UPDATE, DELETE, TRUNCATE ON registros_auditoria FROM app`), y el rol dueño reservado para migraciones. Añadir un trigger `BEFORE UPDATE OR DELETE ... RAISE EXCEPTION` como segunda barrera, que también frena al dueño distraído. Y separar la conexión de la aplicación de la de migraciones: hoy son la misma cadena.",M,CONFIRMADO EN CODIGO,"Falso para valores_anteriores, y la remediación rompería una función viva. El código hace UPDATE sobre valores_anteriores en operación normal: restablecerValor marca restauradoEn y restauradoPorId cada vez que un administrador deshace un cambio, y esa función está expuesta en el frontend. Si se apli"
C-10,C-historial,"Borrar un participante se lleva su historial de valores por cascada, y no hay papelera",INV-1,CRITICO,,MEDIA,"El mecanismo para deshacer se destruye junto con lo que habría que deshacer. Un borrado por error es irreversible, y de la ficha desaparecida solo queda un resumen en texto libre con el documento tapado. INV-2 (apagar sí, borrar no) no tiene dónde apoyarse: no existe `archivadoEn` ni papelera.","backend/prisma/schema.prisma:1914 (participante ... onDelete: Cascade) · backend/src/crm/crm.service.ts:1750-1756 · backend/src/crm/crm.service.ts:1775-1788 · backend/prisma/migrations/20260823064205_crm_canales_rui_y_auditoria/migration.sql:94 (registros_auditoria: única FK, adminId, SetNull)","Sustituir el borrado físico por archivado reversible (`archivadoEn`, `archivadoPorId`), que es lo que INV-2 pide y para lo que la casa ya tiene precedente: el índice único parcial de `politicas_datos_una_vigente`. Si el borrado físico ha de conservarse para algún caso, cambiar la FK de `valores_anteriores` y `movimientos_participante` a `SetNull` sobre una columna nullable, o copiar las filas a una tabla de bitácora sin FK antes de borrar. La tabla append-only de C-16 no debe tener NUNCA una FK a la entidad que audita: es lo que hoy salva a `registros_auditoria` y hay que conservarlo.",L,CONFIRMADO EN CODIGO,"Faltan dos mitigaciones que el agente no miró. (1) La ruta exige @Roles(RolAdmin.SUPERADMIN) además de @Requiere('inscripciones','ESCRIBIR'), no es un borrado al alcance de un gestor. (2) Lo que se borra es la PARTICIPACIÓN, no la persona: Persona está protegida por Restrict y sobrevive con sus auto"
